time,mag,mag.error,phase
1556.62978,13.388,0.005,0.434244698461977
1560.62151,13.01,0.005,0.709742766853157
1564.54063,13.2,0.005,0.980229495613183
1568.61734,13.524,0.005,0.261592646525444
1571.62699,13.378,0.005,0.469310293143204
1575.64139,13.07,0.005,0.746372981689165
1578.68169,13.177,0.005,0.956206005798933
1580.69248,13.321,0.005,0.0949851218564685
1582.62699,13.492,0.005,0.228499605121479
1585.61779,13.389,0.005,0.434916277327354
1588.62101,12.907,0.005,0.642190143283665
1591.58485,13.133,0.005,0.846746111503081
1595.57809,13.359,0.005,0.122348395881628
1599.6441,13.425,0.005,0.40297306264497
1600.597,13.379,0.005,0.468739562225342
1601.60412,13.339,0.005,0.538248174941664
1602.67059,13.016,0.005,0.611852959082159
1604.60218,13.063,0.005,0.745165912093451
1606.55915,13.124,0.005,0.880230521899094
1609.51537,13.312,0.005,0.0842605789769574
1610.53027,13.405,0.005,0.154306145588472
1611.59042,13.496,0.005,0.227474740960634
1613.57076,13.491,0.005,0.364152282968188
1614.64183,13.394,0.005,0.438074546275509
1616.49945,13.266,0.005,0.566282296249788
1618.64498,13.023,0.005,0.714360791206946
1619.5387,13.091,0.005,0.776042852288877
1621.53485,13.141,0.005,0.913811556389366
1623.63202,13.279,0.005,0.058552379062218
1625.61307,13.459,0.005,0.195278923289002
1627.58332,13.524,0.005,0.331260081645826
1628.52321,13.441,0.005,0.396128667321765
1630.49492,13.348,0.005,0.532210590805465
1631.4927,13.074,0.005,0.601074582778702
1633.60813,13.07,0.005,0.747075659709451
1635.49114,13.119,0.005,0.877035756650197
1644.49414,13.362,0.005,0.498397699899321
1645.50023,13.255,0.005,0.567835224889165
1653.48555,13.353,0.005,0.118959733682456
1655.52951,13.507,0.005,0.260028150601645
1657.53896,13.437,0.005,0.398714783597531
1660.51383,13.056,0.005,0.604032011645239
1662.52117,13.064,0.005,0.742573018327636
1664.54424,13.126,0.005,0.882199665726168
1669.51416,13.488,0.005,0.225209678943178
1672.48682,13.392,0.005,0.430374378956398
1687.48451,13.381,0.005,0.465473101898521
1695.46987,13.233,0.005,0.0166003713802129
1766.86261,13.176,0.005,0.943928113275059
1768.84827,13.309,0.005,0.0809728268407756
1773.90662,13.387,0.005,0.430086031953983
1782.83783,13.276,0.005,0.0464932296842832
1788.84625,13.379,0.005,0.46117761567306
1804.84152,13.271,0.005,0.565126527146389
1811.86207,13.272,0.005,0.049665302074471
1815.83824,13.535,0.005,0.324089462675265
1818.88056,13.34,0.005,0.534061901549605
1822.71994,13.098,0.005,0.799045197969881
1829.8692,13.536,0.005,0.292467178020238
1844.77703,13.526,0.005,0.321364014455583
1850.75839,13.06,0.005,0.734180794736885
1854.81542,13.233,0.005,0.0141856869528144
1858.7625,13.527,0.005,0.286602136909477
1860.80488,13.399,0.005,0.427561506636574
1863.77798,12.922,0.005,0.632756574222275
1866.72869,13.108,0.005,0.836406346472027
1868.70978,13.2,0.005,0.973135651387211
1870.83083,13.359,0.005,0.119524605039187
1872.84665,13.517,0.005,0.258650877663906
1874.75158,13.45,0.005,0.390123831851804
2166.85603,13.31,0.005,0.55035805196907
2166.85961,13.313,0.005,0.550605133581518
