time,mag,mag.error,phase
2626.57169,15.125,0.007,0.703001753686185
2628.53428,15.127,0.007,0.704338040916668
2632.54077,15.141,0.006,0.955645660658462
2636.53588,15.232,0.007,0.172154770804887
2641.56003,15.448,0.007,0.535329813729991
2645.56963,15.013,0.006,0.796147395233501
2650.56621,15.574,0.007,0.0750170858224292
2653.57947,15.058,0.006,0.289160936991481
2656.55882,15.082,0.007,0.39961256843895
2659.5853,15.26,0.007,0.654181401755768
2663.55,15.032,0.006,0.777700821495531
2671.54433,15.124,0.006,0.223286869066737
2673.53758,15.064,0.007,0.318377313084238
2675.55433,15.24,0.006,0.485327596777193
2681.57089,15.05,0.006,0.88315895855094
2777.88052,15.067,0.007,0.385055599639958
2804.9234,15.587,0.008,0.0785458626318738
2809.94658,15.123,0.007,0.43875477600284
2813.93201,15.395,0.007,0.625663747934052
2817.90446,15.038,0.006,0.772881625438607
2831.75565,15.41,0.007,0.127957911538729
2832.89701,15.425,0.007,0.618083299313926
2833.84247,15.317,0.007,0.509172832087875
2835.92785,15.043,0.006,0.885984426290904
2837.84838,15.049,0.006,0.758706889828068
2838.86902,15.062,0.006,0.879686752256045
2839.88225,15.204,0.006,0.978007831192771
2844.85012,15.238,0.006,0.169086202757367
2845.84647,15.125,0.006,0.215790511747625
2848.93314,15.273,0.007,0.654412270602674
2850.86587,15.538,0.008,0.564440693462813
2851.90923,15.045,0.006,0.75489526046117
2852.94243,15.075,0.006,0.91428191379587
2853.92007,15.056,0.006,0.903773558942397
2856.79303,15.146,0.007,0.688898877914619
2858.88723,15.548,0.007,0.0926808459883434
2860.85326,15.505,0.007,0.104536190602455
2861.72144,15.026,0.006,0.759313876133102
2862.8288,15.317,0.007,0.145471836292199
2863.81148,15.293,0.007,0.150375123651529
2865.88481,15.24,0.006,0.490339438361621
2866.8438,15.093,0.007,0.422801891595042
2867.77977,15.023,0.006,0.284872280602177
2869.82116,15.396,0.007,0.5271683706608
2871.85454,15.068,0.005,0.744970957920534
2875.77509,15.078,0.006,0.733485615035615
2877.77529,15.006,0.006,0.849828224404016
2883.80233,15.028,0.005,0.279706016808257
2885.73745,15.157,0.006,0.197042738257053
2888.78564,15.366,0.007,0.517997831972478
2892.77751,15.093,0.007,0.724599457839413
2894.7807,15.026,0.006,0.85008508510689
2896.7821,15.177,0.006,0.970097133097519
2898.79843,15.372,0.007,0.135763113272654
2900.72262,15.392,0.006,0.0196773646085184
2902.72339,15.348,0.006,0.137762957322721
2905.73052,15.027,0.006,0.333162092863582
2907.73154,15.14,0.006,0.452012151957473
2909.71894,15.415,0.006,0.529214082693871
2911.71201,15.394,0.006,0.623754110918107
2915.68364,15.032,0.006,0.768464538698561
2917.70908,15.159,0.006,0.961987673743048
2921.70417,15.207,0.006,0.178435626579265
2923.7206,15.024,0.006,0.344407393307498
2925.69182,15.037,0.006,0.372133059958888
2927.68935,15.207,0.006,0.480311168394326
2930.70718,15.118,0.006,0.708429464980029
2932.71002,15.015,0.006,0.832844839316775
2934.69378,15.064,0.006,0.898916139566072
2937.61398,15.017,0.006,0.828495025617264
2940.61083,15.277,0.006,0.992459303631828
2942.61084,15.513,0.007,0.108220918550498
2944.56676,15.575,0.007,0.0891612427771682
2946.55826,15.207,0.006,0.178900422136847
2947.58029,15.019,0.006,0.304130717634726
2951.60609,15.431,0.007,0.614485720532061
2952.63314,15.048,0.006,0.755066500929753
2954.66033,15.166,0.006,0.953940900633453
2956.60625,15.078,0.006,0.904302569676742
2958.59101,15.21,0.006,0.973431735444793
2966.58491,15.085,0.006,0.417702900843045
2969.6277,15.107,0.005,0.722145520761919
2971.63536,15.034,0.006,0.861299806896397
2973.62325,15.137,0.006,0.940000091734982
2975.59754,15.223,0.006,0.977113405529063
2977.59012,15.579,0.008,0.0701550796490543
2979.5562,15.579,0.008,0.0821633175393822
2981.60099,15.021,0.007,0.334856150359827
2983.63733,15.534,0.008,0.561710019554019
2985.65523,15.095,0.006,0.732176848592987
2987.55292,15.448,0.007,0.535057663698521
2990.58405,15.028,0.006,0.803845571674215
2992.54653,15.033,0.006,0.804845493699248
2995.59206,15.455,0.006,0.117666665136843
2998.54813,15.301,0.007,0.156931187322539
3001.55085,15.033,0.006,0.338845135929805
3004.5416,15.219,0.006,0.484156434283577
3007.54931,15.191,0.006,0.681329131824648
3010.54857,15.033,0.006,0.852662865739468
3016.56573,15.069,0.006,0.252328946824358
3019.56954,15.107,0.006,0.437575968845621
3021.59304,15.383,0.006,0.625166844787394
3023.54741,15.505,0.007,0.601367477459715
3025.54472,15.115,0.006,0.708872855480081
3027.58095,15.116,0.006,0.935390359467433
3031.55719,15.536,0.007,0.0941975472856794
3033.55994,15.091,0.006,0.218337713725794
3035.59329,15.094,0.006,0.43604856501952
3040.5401,15.549,0.008,0.56272828877281
3133.92344,15.45,0.007,0.116423642804253
3160.83573,15.097,0.006,0.410587247781892
3175.9466,15.439,0.006,0.617595569764146
