time,mag,mag.error,phase
3568.93521,17.289,0.019,0.837574872819929
3569.84461,17.303,0.017,0.850273979954839
3569.87073,17.313,0.017,0.85063872668715
3569.90537,17.285,0.017,0.85112244899983
3569.92443,17.304,0.018,0.851388607985966
3570.77026,17.375,0.024,0.863200006477189
3570.82779,17.389,0.024,0.864003370930094
3570.85907,17.37,0.022,0.86444017329559
3570.89429,17.312,0.019,0.864931994884873
3570.9181,17.394,0.021,0.865264484153488
3571.81916,17.361,0.025,0.877847129276628
3571.86036,17.331,0.023,0.87842245720049
3571.88675,17.327,0.022,0.8787909742857
3572.84463,17.323,0.02,0.892167069230044
3572.88523,17.331,0.021,0.892734018591904
3572.92528,17.329,0.021,0.893293287605269
3572.94595,17.32,0.024,0.893581929066097
3573.81166,17.323,0.022,0.905670937244856
3573.84959,17.294,0.023,0.906200602005826
3573.94172,17.285,0.025,0.907487130200613
3574.80852,17.207,0.017,0.919591359433671
3574.8367,17.206,0.018,0.919984872562173
3574.85873,17.179,0.017,0.920292505430199
3574.89971,17.183,0.018,0.920864761214663
3575.82048,17.065,0.014,0.93372264209943
3575.84305,17.086,0.015,0.934037815673255
3575.86534,17.11,0.016,0.934349079251477
3575.88782,17.071,0.015,0.934662996041002
3576.79604,17.013,0.015,0.94734562533732
3576.819,16.987,0.014,0.947666244976439
3576.90632,16.972,0.016,0.948885605032543
3577.81684,16.942,0.014,0.961600352149848
3577.85431,16.965,0.015,0.962123593346624
3577.8767,16.934,0.015,0.962436253351842
3577.92217,16.92,0.014,0.963071208708588
3577.94432,16.97,0.018,0.963380517289016
3578.85349,16.91,0.012,0.976076412641826
3578.87534,16.884,0.013,0.976381531941253
3578.91299,16.893,0.012,0.976907286706621
3578.93537,16.885,0.012,0.97721980706915
3579.79511,16.873,0.011,0.989225448556027
3579.81776,16.869,0.011,0.989541739271449
3579.84061,16.875,0.012,0.989860822840875
3579.86305,16.874,0.011,0.990174181059595
3579.88535,16.846,0.012,0.99048558428052
3580.8019,16.872,0.015,0.00328453594590469
3580.82444,16.868,0.015,0.0035992905916272
3580.91325,16.856,0.013,0.00483945741002814
3581.79993,16.861,0.012,0.0172212963306163
3581.8218,16.855,0.012,0.0175266949154425
3581.84024,16.836,0.014,0.0177841960541774
3581.86276,16.803,0.013,0.0180986714145007
3581.88718,16.818,0.015,0.0184396788878204
3581.90956,16.805,0.014,0.0187521992503427
3582.73735,16.822,0.011,0.0303116823108275
3582.7602,16.84,0.012,0.0306307658802539
3582.78288,16.84,0.013,0.0309474755237774
3582.82516,16.828,0.013,0.031537884859229
3583.77818,16.822,0.013,0.0448461134513897
3583.84241,16.798,0.011,0.0457430385132772
3583.87609,16.828,0.012,0.0462133551267628
3583.9033,16.816,0.011,0.0465933229133667
3584.78089,16.826,0.012,0.0588482266196855
3584.82374,16.779,0.012,0.0594465955890374
3584.84637,16.777,0.013,0.0597626070190659
3584.85346,16.802,0.013,0.0598616136933364
3584.8946,16.711,0.01,0.0604361037610003
3585.80189,16.803,0.01,0.0731057462862189
3585.82444,16.791,0.01,0.0734206405746378
3585.85175,16.776,0.01,0.0738020047882443
3585.90992,16.782,0.01,0.07461430637395
3586.7849,16.793,0.01,0.0868327633355777
3586.80394,16.777,0.01,0.0870986430363085
3586.82659,16.795,0.011,0.0874149337517363
3586.85286,16.789,0.01,0.0877817751245448
3586.86737,16.785,0.01,0.0879843966821951
3586.89341,16.774,0.01,0.0883480262729093
3588.78813,16.781,0.011,0.114806407920868
3588.80084,16.79,0.011,0.114983893792525
3588.84478,16.782,0.011,0.115597483816176
3588.86765,16.804,0.015,0.115916846671001
3588.89253,16.793,0.013,0.116264277708516
3589.77385,16.775,0.011,0.128571268141921
3589.81464,16.797,0.012,0.129140870715082
3589.83904,16.767,0.012,0.129481598902996
3589.86522,16.779,0.012,0.129847183491512
3589.90563,16.77,0.011,0.130411479642075
3590.80139,16.806,0.012,0.14292011413423
3590.82794,16.809,0.011,0.14329086550264
3590.85066,16.763,0.011,0.143608133716962
3590.87305,16.781,0.011,0.143920793722187
3591.77949,16.806,0.01,0.156578566617904
3591.80278,16.783,0.011,0.156903794466126
3591.82937,16.787,0.011,0.157275104405335
3591.8693,16.792,0.01,0.157832697706298
3592.76493,16.826,0.011,0.170339516843354
3592.78834,16.813,0.011,0.170666420403978
3592.8148,16.815,0.011,0.171035914988089
3592.8369,16.837,0.01,0.171344525355009
3593.82307,16.782,0.012,0.18511566949756
3593.84339,16.822,0.013,0.185399423463892
3593.86428,16.805,0.012,0.185691137064118
3593.89532,16.822,0.013,0.186124588004817
3594.77531,16.834,0.011,0.198413005959126
3594.79787,16.829,0.011,0.198728039890247
3594.82869,16.837,0.011,0.199158418691542
3594.85163,16.813,0.012,0.199478759045268
3596.69046,16.867,0.014,0.225156677643116
3596.72312,16.875,0.014,0.225612750701209
3596.7369,16.872,0.013,0.225805178341759
3596.76836,16.863,0.014,0.226244494275854
3596.86128,16.881,0.013,0.227542054243939
3596.88753,16.877,0.014,0.227908616331348
3596.90987,16.854,0.011,0.228220578123072
3597.80457,16.881,0.013,0.24071441048903
3597.84469,16.903,0.013,0.241274657001295
3597.86968,16.876,0.012,0.241623624108509
3600.87399,16.932,0.02,0.283576620102004
3600.91758,16.94,0.018,0.284185322631153
3601.73912,16.931,0.014,0.295657529004166
3601.76129,16.937,0.013,0.295967116869987
3601.78688,16.92,0.014,0.296324462539203
3601.80519,16.919,0.014,0.29658014832284
3601.8273,16.937,0.014,0.296888898332463
3602.66903,16.961,0.016,0.308643043316704
3602.74248,16.918,0.017,0.309668718947953
3602.77203,16.958,0.017,0.310081363126355
3603.69844,16.93,0.014,0.323018002493908
3603.74121,16.953,0.014,0.323615254321663
3603.76352,16.924,0.013,0.323926797185285
3603.7858,16.935,0.013,0.324237921120811
3607.76408,17.103,0.013,0.379791697162891
3607.7865,17.112,0.013,0.380104776096218
3607.83332,17.12,0.014,0.380758583217459
3607.85602,17.11,0.014,0.381075572146382
3608.74791,17.083,0.012,0.393530164913649
3608.77409,17.064,0.013,0.393895749502158
3608.79781,17.049,0.013,0.39422698198648
3608.82023,17.067,0.014,0.3945400609198
3614.75397,16.925,0.011,0.477400408369444
3614.78136,16.918,0.011,0.477782889724647
3614.80481,16.929,0.013,0.478110351856069
3614.82839,16.902,0.011,0.47843962934259
3614.85357,16.924,0.013,0.478791249661106
3615.73135,16.925,0.012,0.49104880657872
3615.85691,16.905,0.012,0.492802160319493
3615.88106,16.938,0.013,0.493139397439913
3615.88555,16.907,0.012,0.493202097012196
3617.69121,16.866,0.012,0.51841682077426
3617.738,16.883,0.013,0.519070208967399
3617.76071,16.854,0.011,0.519387337539025
3617.81229,16.863,0.012,0.520107614585447
3618.71229,16.852,0.011,0.53267545758239
3618.76425,16.847,0.012,0.533401041051417
3618.81221,16.836,0.012,0.534070767440452
3618.84436,16.835,0.012,0.534519718720843
3619.66832,16.835,0.013,0.546025718627246
3619.69043,16.812,0.012,0.546334468636869
3619.7215,16.828,0.012,0.546768338505663
3619.76685,16.836,0.011,0.547401618150008
3620.70015,16.802,0.01,0.560434471337838
3620.77876,16.795,0.01,0.561532202602272
3620.84005,16.806,0.011,0.562388072710358
3620.88357,16.808,0.011,0.562995797740613
3621.69144,16.794,0.012,0.574277112542769
3621.73923,16.774,0.011,0.574944465005908
3621.78355,16.774,0.011,0.575563361452157
3621.85459,16.804,0.011,0.576555383192713
3622.76751,16.786,0.012,0.589303644558014
3622.79358,16.802,0.013,0.589667693076824
3622.81728,16.768,0.013,0.589998646275746
3625.6878,16.741,0.012,0.630083362586391
3625.73903,16.766,0.011,0.630798752138318
3625.76521,16.771,0.011,0.631164336726826
3625.82754,16.766,0.01,0.632034729675717
3626.66833,16.766,0.013,0.643775748246157
3626.69261,16.741,0.012,0.644114800721676
3626.73318,16.749,0.012,0.64468133115544
3628.70673,16.755,0.014,0.67224051620723
3628.78601,16.775,0.014,0.673347603532559
3628.84966,16.772,0.013,0.674236429317844
3629.6633,16.779,0.016,0.685598317957883
3629.69505,16.819,0.014,0.68604168353027
3629.72042,16.784,0.014,0.686395957060088
3629.74337,16.772,0.015,0.686716437056511
3630.67372,16.795,0.014,0.699708095647845
3630.69984,16.806,0.013,0.700072842380162
3630.72401,16.769,0.015,0.700410358785976
3630.74785,16.789,0.014,0.700743266982699
3630.79788,16.813,0.015,0.701441899410627
3631.6699,16.854,0.017,0.713619022133061
3631.70125,16.862,0.016,0.714056801997457
3631.72508,16.845,0.015,0.714389570551478
3631.7491,16.839,0.015,0.714724992316794
3632.63537,16.837,0.018,0.727101105886682
3632.74838,16.877,0.015,0.728679208038998
3633.67026,16.861,0.015,0.741552589263464
3633.69069,16.891,0.016,0.741837879299495
3633.7289,16.905,0.017,0.742371454056068
3633.80455,16.894,0.014,0.743427851081307
3634.67757,16.92,0.013,0.755618938073741
